id:ID(EVENT),event_type,type,event_subtype,publish_time,Entity_type
431841be11f111ebabda0242ac110010,movement,event,transport,1602423720,event
431a548611f111ebabda0242ac110010,movement,event,transport,1602361450,event
431ca66e11f111ebabda0242ac110010,movement,event,transport,1602361447,event
431d8e2611f111ebabda0242ac110010,justice,event,sue,1602402720,event
431df5e611f111ebabda0242ac110010,justice,event,arrest_jail,1602400560,event
431f456811f111ebabda0242ac110010,conflict,event,attack,1602368520,event
431f493c11f111ebabda0242ac110010,conflict,event,attack,1602368520,event
431f4b7611f111ebabda0242ac110010,conflict,event,attack,1602368520,event
431f4e3211f111ebabda0242ac110010,life,event,die,1602368520,event
432068d011f111ebabda0242ac110010,movement,event,transport,1602400200,event
4320f9b211f111ebabda0242ac110010,movement,event,transport,1602361449,event
4325f68811f111ebabda0242ac110010,movement,event,transport,1602374400,event
4325f9a811f111ebabda0242ac110010,justice,event,arrest_jail,1602374400,event
4325fd7c11f111ebabda0242ac110010,transaction,event,transfer_money,1602374400,event
43260a09c11f111ebabda0242ac110010,justice,event,arrest_jail,1602374400,event
4326040c11f111ebabda0242ac110010,movement,event,transport,1602374400,event
4326056a11f111ebabda0242ac110010,justice,event,sue,1602374400,event
4326074a11f111ebabda0242ac110010,life,event,die,1602374400,event
4326a093e11f111ebabda0242ac110010,justice,event,arrest_jail,1602374400,event
43260c5e11f111ebabda0242ac110010,justice,event,trial_hearing,1602374400,event
4328875e11f111ebabda0242ac110010,life,event,die,1602400380,event
43295a09411f111ebabda0242ac110010,movement,event,transport,1602375960,event
4329f24211f111ebabda0242ac110010,conflict,event,demonstrate,1602423480,event
4329f5c611f111ebabda0242ac110010,contact,event,meet,1602423480,event
432ad01811f111ebabda0242ac110010,movement,event,transport,1602388320,event
432ad4be11f111ebabda0242ac110010,personnel,event,start_position,1602388320,event
432c7f4411f111ebabda0242ac110010,life,event,marry,1602411000,event
432d4ec411f111ebabda0242ac110010,movement,event,transport,1602387720,event
432eef8611f111ebabda0242ac110010,movement,event,transport,1602382320,event
432f398211f111ebabda0242ac110010,life,event,die,1602416160,event
43300aba11f111ebabda0242ac110010,conflict,event,attack,1602378660,event
433a0953e11f111ebabda0242ac110010,movement,event,transport,1602402600,event
